"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMP9",41796.9485216993,3.20341821974267,0.535326835885319,5.98404190674448,2.17667272070197e-09,4.20573392789349e-08
"LOXL1",120.036934477491,3.19863598068112,0.453985286652864,7.04568204019116,1.84555253284511e-12,1.05497697307799e-10
"LHX4",164.1888139987,3.19861648509395,0.627226731351822,5.09961761068469,3.40340343617128e-07,3.20132635714861e-06
"SPDEF",5.53081050907265,3.19738997004075,0.661894227405177,4.83066604550319,1.36077077346428e-06,1.06821060228264e-05
"GXYLT1P3",1.38265406880203,3.19489967523634,1.43443786162152,2.22728342629269,0.0259283374920258,0.0537952169569331
"LINC01426",1.37431151992158,3.19186277651392,2.20086444026386,1.45027686309078,0.146981328360361,0.22954587025002
"PLIN4",1846.9445649745,3.19135755178136,0.376817607008119,8.46923682022268,2.4700603046759e-17,7.93054028487941e-15
"RNASE1",209.074452791602,3.18786651814963,0.574224293422977,5.55160510389871,2.83058445881662e-08,3.76357578263266e-07
"BPI",2160.80192732626,3.18754127899475,0.429250097853628,7.42583704682504,1.12068901717833e-13,9.6811449448087e-12
"MAOB",71.8977650862341,3.18670868782195,0.393430219492997,8.09980659830497,5.50466278327164e-16,1.0396257240877e-13
"LINC02009",83.773073055551,3.18374435576196,0.64929231596143,4.90340679767275,9.41886430198592e-07,7.78399836608566e-06
"TEX45",12.4121678458456,3.18353371425524,0.588503139497836,5.40954414783874,6.31853738089228e-08,7.44922301747301e-07
"GPR84",602.204831398957,3.17936384208619,0.469999916405435,6.76460512249023,1.33673273629535e-11,5.38720071799031e-10
"LCE5A",2.18966017788539,3.16731665514726,1.49720641564915,2.11548429264111,0.0343886922715957,0.0684010085616954
"C5orf47",7.61354402566539,3.15965115854581,0.589386229489403,5.36091785056308,8.28001672705742e-08,9.36619155784111e-07
"FCGR1CP",584.755280295981,3.15833828711233,0.466607432410293,6.7687269163239,1.29920499863212e-11,5.24693607833316e-10
"SAMSN1-AS1",2.13618833818107,3.15759169443293,0.908696768345941,3.47485740505113,0.000511124971939012,0.00181867592527394
"LOC105372633",21.3789140011654,3.15255219588722,0.559304580327599,5.63655708673204,1.73483543738886e-08,2.45734337248963e-07
"MIR644A",1.47301497470768,3.14372070496696,0.960614074411852,3.27261570354541,0.00106557249205197,0.00342981873223438
"CTSG",213.836154295598,3.14137347846671,0.568037066637003,5.53022621756859,3.19818085634059e-08,4.16001053454052e-07
"MIR181A1HG",6.97794008883674,3.1323454871898,0.549946149107017,5.69573128619228,1.22844227964897e-08,1.8430461117724e-07
"SLCO2B1",9.15181444743325,3.12971385863708,0.565875195010892,5.53074933524315,3.18865706170933e-08,4.15080341673277e-07
"ANXA3",7387.83656727838,3.12742785250848,0.374230330751844,8.35695986005558,6.43551852865266e-17,1.85035565576067e-14
"NNMT",12.9856464813694,3.12288213851447,0.655572341383866,4.76359654210287,1.90172560025207e-06,1.4265904191299e-05
"ZNF608",949.384673267543,3.12041994318834,0.56667720268108,5.50652104659393,3.65994225860815e-08,4.67540634415301e-07
"S100A12",25300.3969010076,3.10799786975938,0.380497590196311,8.1682458702455,3.12905704267447e-16,6.48152202904097e-14
"H2BC6",7.60153609226971,3.09987287141783,0.51803729790076,5.98387970128682,2.17884263913917e-09,4.20573392789349e-08
"NFKBIA",34020.3628171041,3.09729854302918,0.356183502801992,8.69579449543181,3.44411298507828e-18,1.50789528510336e-15
"KCNG2",62.2833383447611,3.09705505547005,0.708081046387926,4.37387086021974,1.22062603522553e-05,7.16457646026343e-05
"LINC01482",1.70980563275577,3.09611262538541,1.59790816279844,1.93760361043726,0.0526716016577035,0.0976485164405735
"LY6G6C",3.13465609499358,3.09070714908326,0.833054380987596,3.71009050503905,0.000207185166904934,0.000835331740321611
"LOC102724957",2.17835311469678,3.0850627084688,0.93054872829003,3.31531559248691,0.000915397153135882,0.00300824266814965
"SH3TC2-DT",0.967390335088788,3.08483135663396,1.14141696374826,2.70263317841694,0.00687926193458419,0.017237526262725
"TRIM55",1.25060531497914,3.07933676040553,1.13899883811116,2.7035468846589,0.00686037689355142,0.0171924418469331
"SDC1",99.0752585488287,3.07553358819929,0.483145523780497,6.36564644981905,1.94468918343573e-10,5.41365497539102e-09
"FERMT2",16.2695580398082,3.07366692419506,0.716949096676227,4.2871480533898,1.80981676296401e-05,0.000101172507668212
"GADD45A",1791.83886077517,3.07140191191303,0.376390311201185,8.16015136550984,3.34605007294704e-16,6.85726687289912e-14
"VNN1",7948.47878656205,3.07084982876772,0.397889421719491,7.71784737452167,1.18310747647146e-14,1.41561381532585e-12
"RLN3",18.5835961731605,3.06625885691971,0.691159857716024,4.4363960416514,9.14774811534124e-06,5.58903329191036e-05
"SYN2",49.6648929059614,3.06280763009092,0.423619058739882,7.23009875712791,4.82642930240153e-13,3.36870775657475e-11
"C1QA",377.652104950315,3.06136575646641,0.373096944277714,8.20528230911399,2.3004967121859e-16,4.98783744573671e-14
"FOSL1",106.893929962777,3.05673185806728,0.449716611245257,6.79701790334861,1.0680682947332e-11,4.44390229584026e-10
"JPH1",0.749338989892552,3.05540928028876,1.1873738683968,2.57324955653117,0.0100748532992158,0.0239713219899219
"TSNAX-DISC1",1.56217962539943,3.05397837331605,0.983748698738383,3.10442939058791,0.00190646426805831,0.0056948562040433
"A3GALT2",36.3113469719811,3.049138446311,0.366885652710235,8.31086858749205,9.50040888408948e-17,2.440211689908e-14
"CMA1",1.21656024831643,3.04344175964117,1.32600826807661,2.29519063561777,0.0217222016179865,0.0462689619602932
"LINC01983",0.732157976951002,3.04042688229281,1.01931553329127,2.98281227254095,0.00285613120307363,0.0080698902164873
"FGF13",188.368290771399,3.03566943363485,0.621842587427597,4.88173292567922,1.05157615133778e-06,8.54028793396755e-06
"CD163",15516.7983093645,3.03402555547253,0.599680632614425,5.0594022725815,4.20572760340441e-07,3.86726188792279e-06
"CLEC18C",14.3667057060993,3.03331502663458,0.892812082854174,3.39748429136126,0.000680084924096539,0.00232868040842441
"ALOX15B",250.34624954319,3.03231688606178,0.609916898171518,4.97168859422066,6.63722552024545e-07,5.69276546847766e-06
"SLC6A11",3.70490347928872,3.02985103002071,0.760298554223701,3.98508061496227,6.74572202098569e-05,0.000314571747790531
"ALPL",49598.5278876834,3.02705802363028,0.373091841362062,8.11343934131414,4.92067636521146e-16,9.47919094994335e-14
"AGPAT1",146.133085167329,3.02693937679186,0.537799927277235,5.62837446281669,1.81915826551524e-08,2.55697651022204e-07
"C4BPA",597.117857113839,3.0200008171294,0.625338112171302,4.82938870724406,1.36952832992163e-06,1.07420984314374e-05
"PENK",1.24673886786422,3.01622338617121,1.04556554017099,2.88477696546689,0.00391691049119673,0.0106410046118198
"SERPINB10",169.988633867011,3.0145248174432,0.455232219739702,6.62194960446095,3.54491923343825e-11,1.25531845795872e-09
"MEIKIN",35.6681448978696,3.01210060923138,0.552847692731183,5.44833712582026,5.08429198878916e-08,6.17552338411314e-07
"RPH3A",1536.31297625635,3.01087516963405,0.578323126979738,5.20621609126751,1.92730197570976e-07,1.95830242796697e-06
"PCK1",0.708998546130029,3.01028982816318,2.08670126451695,1.44260698900762,0.14913121346321,0.232225664550584
"RCVRN",50.1355279814342,3.01005371753066,0.396956516449151,7.58282983853281,3.38098153893945e-14,3.55908351727484e-12
"CPNE6",2.02109269415834,3.00640364248412,1.14049365708095,2.63605468019779,0.00838762141629741,0.0204815742126446
"DSC3",0.930403294846373,2.99721267074287,0.981393326216045,3.05403816255733,0.00225783357290329,0.00660013747320317
